CULTIVOS;MEDIA-superficie;2019-superficie;2020-superficie;Variacion-100-superficie;MEDIA-produccion;2019-produccion;2020-produccion;Variacion-100-produccion
CEREALES PARA GRANO;;;;;;;;
 ARROZ;15.195;15.410;15.447;100,2;120.685;124.734;114.848;92,1
 TRIGO;4.183;4.663;4.604;98,7;8.558;7.885;13.796;175
 CEBADA;16.739;14.659;14.138;96,4;28.656;22.978;39.783;173,1
 MAÍZ;638;411;320;77,9;6.248;4.099;3.214;78,4
TUBÉRCULOS C. HUMANO;;;;;;;;
 PATATA;1.999;2.211;2.407;108,9;52.713;75.359;61.317;81,4
 CHUFA;442;655;649;99,1;7.752;10.218;9.346;91,5
HORTALIZAS;;;;;;;;
ALCACHOFA;3.972;4.226;4.020;95,1;54.194;58.878;59.089;100,4
BERENJENA;221;250;251;100,4;9.327;12.475;12.702;101,8
BRÓCULI;2.175;2.478;2.983;120,4;44.061;61.607;68.331;110,9
CEBOLLA;1.473;1.861;1.812;97,4;65.322;91.331;66.702;73
COL Y REPOLLO;1.046;1.465;1.175;80,2;35.855;54.126;56.038;103,5
COLIFLOR;1.097;1.392;1.412;101,4;26.730;34.584;34.359;99,3
ESCAROLA;373;550;604;109,8;10.602;15.024;16.116;107,3
ESPINACA;393;493;438;88,8;8.104;11.132;8.781;78,9
HABA VERDE;592;654;634;96,9;5.791;6.976;6.669;95,6
JUDÍA VERDE;397;424;400;94,3;5.963;7.082;6.734;95,1
LECHUGA;2.112;1.996;2.052;102,8;57.073;62.551;68.450;109,4
MELÓN;1.658;1.540;1.439;93,4;40.782;43.044;38.549;89,6
PEPINO;157;149;153;102,7;5.859;6.320;6.722;106,4
PIMIENTO;738;809;839;103,7;49.443;63.876;69.808;109,3
SANDÍA;1.714;1.630;1.618;99,3;66.732;73.892;75.112;101,7
TOMATE;1.233;1.139;1.105;97;74.432;73.650;68.530;93
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
 ALFALFA;1.688;1.677;1.374;81,9;81.911;74.953;59.442;79,3
 FLORES (1);129;123;97;78,9;6.405;5.688;2.430;42,7
 P. ORNAMENTAL (1);1.640;1.896;1.761;92,9;64.218;85.607;78.602;91,8
CÍTRICOS (2);;;;;;;;
 NARANJO DULCE;73.293;70.344;70.509;100,2;1.636.688;1.575.109;1.579.435;100,3
 MANDARINO;83.745;73.068;71.395;97,7;1.588.947;1.205.242;1.574.163;130,6
 LIMONERO;10.417;13.778;15.108;109,7;244.301;267.056;296.089;110,9
FRUTALES;;;;;;;;
 MANZANA;988;638;604;94,7;10.023;8.441;6.113;72,4
 PERA;641;371;341;91,9;6.360;4.339;3.796;87,5
 NÍSPERO;1.261;1.037;1.025;98,8;16.429;15.845;13.509;85,3
 ALBARICOQUE;3.928;3.766;3.594;95,4;12.731;25.306;18.380;72,6
 CEREZA;2.747;2.678;2.494;93,1;5.849;6.327;2.145;33,9
 MELOCOTÓN (3);6.103;4.417;4.085;92,5;33.202;43.905;30.846;70,3
 CIRUELA;2.495;1.594;1.570;98,5;9.655;12.928;12.701;98,2
 GRANADA;2.974;3.842;3.761;97,9;39.655;50.977;51.325;100,7
 CAQUI;10.820;16.101;16.073;99,8;224.709;431.549;428.608;99,3
 AGUACATE;275;1.015;1.467;144,5;1.430;3.380;4.605;136,2
 ALMENDRA;97.994;92.641;93.441;100,9;36.383;40.875;29.571;72,3
VIÑEDO;;;;;;;;
 UVA DE MESA;6.393;5.457;5.494;100,7;85.837;90.203;111.640;123,8
 UVA DE VINIFICACIÓN;63.835;58.688;57.876;98,6;274.230;342.124;362.626;106
 VINO+MOSTO (4);;-;;;2.427,90;2.596,90;2.883,80;111
OLIVAR;;;;;;;;
 OLIVO;92.337;93.741;93.953;100,2;112.757;123.740;134.136;108,4
 ACEITE DE OLIVA;;-;;;23.173;23.916;25.201;105,4
OTROS CUTIVOS LEÑOSOS;;;;;;;;
 ALGARROBA (GARROFA);19.055;17.333;17.200;99,2;12.772;8.042;13.284;165,2
CEREALES PARA GRANO;;;;;;;;
ARROZ (CÁSCARA);306;421;416;98,8;1.149;1.263;1.174;93
TRIGO;1.440;1.355;1.388;102,4;3.501;2.830;4.803;169,7
CEBADA;3.508;2.831;3.008;106,3;6.531;4.306;8.426;195,7
MAÍZ;274;137;141;102,9;2.758;1.496;1.680;112,3
TUBÉRCULOS C. HUMANO;;;;;;;;
PATATA TOTAL;674;771;953;123,6;15.778;22.744;25.351;111,5
CHUFA;0;0;0;0;0;0;0;0
HORTALIZAS;;;;;;;;
ALCACHOFA;1.954;2.150;1.943;90,4;25.899;29.670;29.339;98,9
BERENJENA;67;63;57;90,5;3.062;3.095;2.990;96,6
BRÓCULI;2.113;2.410;2.892;120;42.640;60.250;66.516;110,4
CEBOLLA;450;460;463;100,7;15.510;17.250;19.620;113,7
COL Y REPOLLO;185;230;158;68,7;5.911;6.530;6.314;96,7
COLIFLOR;333;475;445;93,7;8.066;11.875;11.125;93,7
ESCAROLA;201;220;215;97,7;6.093;6.600;7.095;107,5
ESPINACA;222;287;235;81,9;5.323;7.395;5.270;71,3
HABA VERDE;449;490;480;98;4.621;5.880;5.760;98
JUDÍA VERDE;55;51;46;90,2;591;612;690;112,7
LECHUGA;970;1.182;1.199;101,4;27.889;33.826;40.034;118,4
MELÓN;1.005;1.135;1.037;91,4;27.383;32.367;27.595;85,3
PEPINO;70;60;60;100;3.025;2.900;3.200;110,3
PIMIENTO;273;326;376;115,3;29.490;37.700;43.120;114,4
SANDÍA;223;355;341;96,1;10.747;17.750;22.847;128,7
TOMATE;552;455;410;90,1;54.639;49.375;43.125;87,3
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
ALFALFA;1.157;1.044;773;74;69.379;67.565;49.714;73,6
FLORES (1);104;99;78;78,8;5.454;4.806;1.936;40,3
P. ORNAMENTAL (1);385;462;344;74,5;8.178;23.742;19.344;81,5
CÍTRICOS (2);;;;;;;;
NARANJO DULCE;13.830;11.182;10.223;91,4;288.160;237.564;216.764;91,2
MANDARINO;6.791;6.954;7.512;108;127.686;124.079;134.219;108,2
LIMONERO;10.335;13.584;14.836;109,2;242.440;265.107;294.335;111
FRUTALES;;;;;;;;
MANZANA;643;458;419;91,5;7.331;7.126;3.831;53,8
PERA;322;180;151;83,9;4.194;2.272;1.933;85,1
NÍSPERO;983;818;806;98,5;15.504;14.916;12.466;83,6
ALBARICOQUE;384;606;617;101,8;2.817;3.470;3.671;105,8
CEREZA;1.965;2.029;1.850;91,2;4.446;5.254;1.824;34,7
MELOCOTÓN (3);498;485;429;88,5;4.857;3.392;3.828;112,9
CIRUELA;499;356;331;93;4.481;2.807;2.375;84,6
GRANADA;2.566;3.075;3.013;98;37.256;43.584;45.120;103,5
CAQUI;30;78;78;100;245;390;325;83,3
AGUACATE;146;284;295;103,9;971;1.728;2.025;117,2
ALMENDRA;24.129;22.556;22.861;101,4;14.860;15.031;12.073;80,3
VIÑEDO;;;;;;;;
UVA DE MESA;5.839;5.278;5.248;99,4;84.604;89.759;111.251;123,9
UVA DE VINIFICACIÓN;12.249;10.516;10.294;97,9;34.614;34.211;33.737;98,6
VINO+MOSTO (4);;;;;257,9;253,5;258,1;101,8
OLIVAR;;;;;;;;
OLIVO;27.810;28.766;29.013;100,9;38.929;44.259;48.307;109,1
ACEITE DE OLIVA;;;;;8.287;7.818;9.253;118,4
OTROS CUTIVOS LEÑOSOS;;;;;;;;
ALGARROBA (GARROFA);954;755;715;94,7;1.151;632;784;124,1
CEREALES PARA GRANO;;;;;;;;
 ARROZ;151;153;153;100;1.091;1.193;1.188;99,6
 TRIGO;766;776;795;102,4;1.430;1.282;1.741;135,8
 CEBADA;3.907;3.321;3.013;90,7;5.381;4.781;6.131;128,2
 MAÍZ;95;121;100;82,6;364;384;352;91,7
TUBÉRCULOS C. HUMANO;;;;;;;;
 PATATA;562;444;444;100;10.718;11.980;11.173;93,3
 CHUFA;0;0;0;0;0;0;0;0
HORTALIZAS;;;;;;;;
ALCACHOFA;1.113;1.045;1.055;101;16.345;13.255;15.134;114,2
BERENJENA;67;70;73;104,3;1.504;2.009;2.093;104,2
BRÓCULI;60;68;91;133,8;1.365;1.357;1.815;133,8
CEBOLLA;210;262;229;87,4;5.018;5.741;4.929;85,9
COL Y REPOLLO;181;393;465;118,3;5.765;12.869;15.249;118,5
COLIFLOR;347;412;351;85,2;9.423;9.579;8.336;87
ESCAROLA;79;235;270;114,9;1.719;5.288;6.413;121,3
ESPINACA;21;13;11;84,6;405;263;235;89,4
HABA VERDE;73;69;63;91,3;754;621;454;73,1
JUDÍA VERDE;270;279;264;94,6;4.430;5.154;4.656;90,3
LECHUGA;638;379;389;102,6;12.596;9.150;8.466;92,5
MELÓN;543;299;298;99,7;10.292;6.871;6.863;99,9
PEPINO;68;66;70;106,1;1.629;2.075;2.218;106,9
PIMIENTO;136;131;99;75,6;2.742;3.296;2.461;74,7
SANDÍA;525;461;458;99,3;10.635;11.372;11.976;105,3
TOMATE;549;510;507;99,4;13.843;16.298;16.774;102,9
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
 ALFALFA;209;339;354;104,4;5.675;5.944;6.818;114,7
 FLORES (1);6;5;5;100;339;228;135;59,2
 P. ORNAMENTAL (1);154;174;360;206,9;8.934;25.808;29.193;113,1
CÍTRICOS (2);;;;;;;;
 NARANJO DULCE;5.818;6.388;6.486;101,5;114.882;116.918;118.369;101,2
 MANDARINO;31.771;27.421;27.079;98,8;573.788;442.336;652.267;147,5
 LIMONERO;30;70;71;101,4;842;340;321;94,4
FRUTALES;;;;;;;;
 MANZANA;101;75;74;98,7;830;641;636;99,2
 PERA;206;149;148;99,3;1.679;1.510;1.506;99,7
 NÍSPERO;216;153;153;100;744;707;699;98,9
 ALBARICOQUE;229;190;187;98,4;1.076;940;699;74,4
 CEREZA;709;562;559;99,5;1.263;965;207;21,5
 MELOCOTÓN (3);408;362;352;97,2;2.087;2.036;1.826;89,7
 CIRUELA;112;101;100;99;621;653;616;94,3
 GRANADA;28;95;103;108,4;81;261;311;119,2
 CAQUI;223;205;165;80,5;1.171;2.385;1.850;77,6
 AGUACATE;13;188;282;150;37;165;522;316,4
 ALMENDRA;38.004;36.648;36.324;99,1;10.365;9.548;5.974;62,6
VIÑEDO;;;;;;;;
 UVA DE MESA;118;88;66;75;221;228;168;73,7
 UVA DE VINIFICACIÓN;891;770;774;100,5;1.333;1.470;1.466;99,7
 VINO+MOSTO (4);;;;;4,79;1,98;2,89;146,5
OLIVAR;;;;;;;;
 OLIVO;33.212;32.930;32.743;99,4;31.463;42.683;42.831;100,3
 ACEITE DE OLIVA;;;;;6.658;9.913;7.913;79,8
OTROS CUTIVOS LEÑOSOS;;;;;;;;
 ALGARROBA (GARROFA);7.957;7.777;7.761;99,8;3.689;3.487;4.402;126,2
CEREALES PARA GRANO;;;;;;;;
 ARROZ;14.737;14.836;14.878;100,3;118.445;122.278;112.486;92
 TRIGO;1.977;2.532;2.421;95,6;3.627;3.773;7.252;192,2
 CEBADA;9.324;8.507;8.117;95,4;16.745;13.891;25.226;181,6
 MAÍZ;268;153;79;51,6;3.126;2.219;1.182;53,3
TUBÉRCULOS C. HUMANO;;;;;;;;
