CULTIVOS;MEDIA-superficie;2018-superficie;2019-superficie;Variacion-100-superficie;MEDIA-produccion;2018-produccion;2019-produccion;Variacion-100-produccion
CEREALES PARA GRANO;;;;;;;;
 ARROZ;15.183;15.374;15.410;100,2;119.821;128.645;124.734;97
 TRIGO;4.212;4.399;4.663;106;8.542;10.693;7.885;73,7
 CEBADA;17.222;14.126;14.659;103,8;29.801;31.016;22.978;74,1
 MAÍZ;679;485;411;84,7;6.588;4.253;4.099;96,4
TUBÉRCULOS C. HUMANO;;;;;;;;
 PATATA;1.981;2.231;2.211;99,1;50.526;65.291;75.359;115,4
 CHUFA;436;546;655;120;7.752;8.845;10.218;115,5
HORTALIZAS;;;;;;;;
 ALCACHOFA;3.927;4.431;4.226;95,4;53.068;59.189;58.878;99,5
 BERENJENA;217;262;250;95,4;8.827;13.518;12.475;92,3
 BRÓCULI;2.148;2.448;2.478;101,2;43.076;53.645;61.607;114,8
 CEBOLLA;1.392;1.866;1.861;99,7;59.950;91.509;91.331;99,8
 COL Y REPOLLO;1.054;1.106;1.465;132,5;33.680;54.994;54.126;98,4
 COLIFLOR ;1.087;1.297;1.392;107,3;26.621;30.841;34.584;112,1
 ESCAROLA;360;590;550;93,2;10.468;15.007;15.024;100,1
 ESPINACA;359;513;493;96,1;7.442;10.491;11.132;106,1
 HABAS VERDES;589;619;654;105,7;5.748;6.053;6.976;115,2
 JUDÍAS VERDES;392;428;424;99,1;5.883;6.471;7.082;109,4
 LECHUGA;2.227;1.980;1.996;100,8;59.441;59.573;62.551;105
 MELÓN;1.667;1.486;1.540;103,6;40.959;38.973;43.044;110,4
 PEPINO;159;159;149;93,7;5.766;6.844;6.320;92,3
 PIMIENTO;734;830;809;97,5;47.541;58.092;63.876;110
 SANDÍA;1.778;1.548;1.630;105,3;68.004;73.741;73.892;100,2
 TOMATE;1.256;1.245;1.139;91,5;75.962;76.663;73.650;96,1
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
 ALFALFA;1.701;1.695;1.677;98,9;82.880;83.630;74.953;89,6
 FLORES (1);133;125;123;98,4;6.778;5.717;5.688;99,5
 P. ORNAMENTAL (1);1.599;1.797;1.896;105,5;64.705;52.799;85.607;162,1
CÍTRICOS (2);;;;;;;;
 NARANJO DULCE;74.109;70.025;70.344;100,5;1.639.884;1.918.261;1.526.942;79,6
 MANDARINO;85.333;75.731;73.068;96,5;1.589.360;1.780.090;1.168.389;65,6
 LIMONERO;10.205;12.773;13.778;107,9;231.959;329.020;258.890;78,7
FRUTALES;;;;;;;;
 MANZANA;1.042;692;638;92,2;10.080;9.938;8.441;84,9
 PERA;692;402;371;92,3;6.806;5.069;4.339;85,6
 NÍSPERO;1.305;1.075;1.037;96,5;16.940;15.798;15.845;100,3
